family_structure,households,living_area_below_60sqm,living_area_between_60_and_80sqm,living_area_between_80_and_100sqm,living_area_between_100_and_120sqm,living_area_above_120sqm,living_area_average
21 Familien in Gebäuden mit Wohnraum¹ im Land Berlin 2018 nach Familienstruktur und Wohnfläche,,,,,,,
Familienstruktur,Ins-gesamt,Davon in Wohnungen mit einer Wohnfläche von … bis unter … m²,,,,,Wohn-fläche je Wohnung
,,unter60,60 – 80,80 – 100,100 – 120,120 undmehr,
,1 000,,,,,,m²
Familien,422.598979999999,39.484565,125.54921,119.645391,57.76354,80.1562739999999,94.3423147187908
mit Kind(ern) unter 18 Jahren,328.927538,29.714634,97.1944209999999,94.336031,44.844551,62.837901,94.6564044844429
1 Kind,183.981243,23.066172,62.563383,49.371312,23.098764,25.881612,87.6050185507225
2 und mehr Kinder,144.946295,6.648462,34.631038,44.964719,21.745787,36.956289,103.606772956839
Kinder unter 18 Jahren,522.241126999999,37.300612,141.424723,157.27657,73.922992,112.31623,98.715509190451
Ehepaare,226.587788,10.987492,53.668464,66.64889,34.50316,60.779782,103.573723699531
mit Kind(ern) unter 18 Jahren,179.789757,8.94343,43.632402,52.070164,26.320007,48.823754,103.707727626552
1 Kind,86.3412700000001,5.888335,24.484377,24.435501,12.342889,19.190168,96.6595246514211
2 und mehr Kinder,93.4484869999999,/,19.148025,27.634663,13.977118,29.633586,110.21988010357
Kinder unter 18 Jahren,307.694279999998,12.447128,69.5736659999999,90.7789409999999,46.301003,88.5935419999999,107.077440698605
Lebensgemeinschaften,71.943418,/,22.200081,22.667124,12.006269,10.468012,91.8595656936955
mit Kind(ern) unter 18 Jahren,66.345098,/,20.693796,21.39984,11.263273,8.61326400000001,90.6659386199113
1 Kind,42.10986,/,14.969722,13.193348,6.843043,/,86.1272125103242
2 und mehr Kinder,24.235238,/,5.724074,8.206492,/,/,98.5521876038519
Kinder unter 18 Jahren,96.3524000000001,5.431101,27.3136,32.096735,16.529022,14.981942,93.9595985258281
Alleinerziehende,124.067774,23.895141,49.680665,30.329377,11.254111,8.90848,78.9224596791752
mit Kind(ern) unter 18 Jahren,82.792683,16.396279,32.868223,20.866027,7.261271,5.400883,78.1985812804254
1 Kind,55.530113,13.859088,23.109284,11.742463,/,/,74.6472320162575
2 und mehr Kinder,27.26257,/,9.758939,9.123564,/,/,85.4321922694743
Kinder unter 18 Jahren,118.194447,19.422383,44.537457,34.400894,11.092967,8.740746,80.8240164700799
Monatliches Familiennettoeinkommen,,,,,,,
von ... bis unter ...  EUR,,,,,,,
unter 900,/,/,/,–,–,–,/
900  –  1 500,28.496981,9.70753,13.696972,/,/,/,67.5040357783864
1 500  –  2 000,60.507653,14.247074,28.083043,12.93617,/,/,72.3862835334235
2 000  –  3 200,122.113271,10.64068,51.140577,43.547492,10.008714,6.775808,82.0306706140071
3 200  –  4 500,99.579927,/,22.618031,36.234293,19.179989,17.958425,96.4588780728873
4 500  –  6 000,60.735707,/,7.877549,17.556458,13.912193,20.522271,110.179251259889
6 000 und mehr,50.20046,/,/,5.539727,9.717418,32.894082,143.058610000785
Beteiligung am Erwerbsleben/Stellung,,,,,,,
im Beruf der Haupteinkommensperson,,,,,,,
Erwerbspersonen,376.636136,31.45612,109.228239,105.269099,53.771524,76.911154,95.8391991707349
Erwerbstätige,358.468244,28.287907,100.606077,100.093515,52.989897,76.490848,96.9212896917026
Selbstständige,58.749692,/,11.138043,14.508448,11.682998,18.508679,110.882105560655
Beamte,21.609176,/,/,5.263,/,8.394728,115.816357042027
Angestellte,249.951587,20.302423,74.060669,72.119214,35.532195,47.937086,94.1021972907099
Arbeiter,25.792328,/,11.25942,7.807764,/,/,79.329179281529
Erwerbslose,18.167892,/,8.622162,5.175584,/,/,74.488616015551
Nichterwerbspersonen,45.962844,8.028445,16.320971,14.376292,/,/,82.0763031547831
darunter Rentner,13.14785,/,/,/,/,/,90.2231528348741
Alter der Haupteinkommensperson,,,,,,,
von ... bis unter ... Jahren,,,,,,,
unter 25,7.040319,/,/,/,/,/,70.0515478062855
25 – 30,21.729263,/,9.923821,5.261303,/,/,77.5521048735064
30 – 40,133.437164,13.761003,49.534697,39.482323,15.167836,15.491305,86.0155373805756
40 – 50,144.674686,11.763374,36.404982,42.741274,21.787599,31.977457,98.4697698047881
50 – 60,90.48917,5.797315,20.997893,22.509156,15.151869,26.032937,104.763410416959
60 – 65,11.647778,/,/,/,/,/,94.7823167646224
65 und mehr,13.5806,/,/,/,/,/,101.830612123176
_____,,,,,,,
1 ohne Wohnheime – nur Wohnungen von ausschließlich einer Familie bewohnt,,,,,,,
