household_structure,households,living_area_below_40sqm,living_area_between_40_and_60sqm,living_area_between_60_and_80sqm,living_area_between_80_and_100sqm,living_area_between_100_and_120sqm,living_area_more_than_120sqm,living_area_average
Haushalte,1769.741579,154.859417,480.378842,542.533297000001,291.08497,136.828703,164.05635,73.7927417492185
Eigentümerhaushalte,303.003475999999,/,18.226518,50.256033,65.4565109999999,54.350801,110.669481,108.244557432074
Mieterhaushalte,1466.738103,150.815285,462.152324,492.277264,225.628459,82.4779020000001,53.386869,66.6755748295981
mit 1 Person,868.320286000003,145.204951,369.515516,239.869625999999,68.3315899999999,27.557125,17.841478,58.0659910437702
darunter weiblich,445.527954000001,57.403546,186.605696,138.430421,37.512071,15.392073,10.184147,59.94485517737
mit 2 Personen,542.002383999999,8.762586,91.812365,207.483649,114.039153,54.3196,65.585031,81.953395029716
mit 3 Personen,186.645712,/,13.253469,59.687277,52.924507,28.054342,31.834237,92.458961478847
mit 4 Personen,126.879422,–,5.348889,27.4834,39.621312,19.577662,34.848159,104.122760040631
mit 5 und mehr Personen,45.893775,–,/,8.009345,16.168408,7.319974,13.947445,115.204416328794
mit Kindern unter 18 Jahren,339.396109,/,28.552437,99.702855,96.883112,46.282923,66.094154,95.1081184021471
mit 1 Kind,191.087075,/,22.221415,64.764015,51.119004,23.98811,27.531343,88.049128320165
mit 2 Kindern,111.205948,/,5.161852,27.233618,32.07303,17.296914,29.023094,102.378923589591
mit 3 Kindern,28.609468,–,/,5.76316,10.294954,/,7.48677,107.752057011336
mit 4 und mehr Kindern,8.493618,–,–,/,/,/,/,116.134332036124
ohne Kinder unter 18 Jahren,1430.34547,152.978789,451.826405,442.830442,194.201858,90.5457800000001,97.962196,68.7349735039883
unter 900,120.441581,46.337956,57.273615,12.951536,/,/,/,45.4075416529114
900  –  1 500,355.459353,60.922884,163.369201,100.652801,20.786302,6.394465,/,55.5752493028367
1 500  –  2 000,305.028633,24.925486,110.148108,117.623658,34.315501,11.867316,6.148564,63.8896849398398
2 000  –  3 200,483.854888999999,16.961018,108.003021,197.769359,105.191495,30.756374,25.173622,73.6640104384684
3 200  –  4 500,265.881438,/,30.191445,78.9426810000001,74.399579,40.913263,37.526302,87.9731485956534
4 500  –  6 000,135.648331,/,7.299227,25.804721,37.684257,25.892322,37.780374,101.519717046869
6 000 und mehr,101.804885,/,/,8.361574,16.051401,19.922286,53.166773,127.023195429178
1 Einkommensbezieher,969.974400000002,147.140053,387.23205,279.50038,92.1510859999999,36.463822,27.487009,60.4016049784407
2 und mehr Einkommensbezieher,798.932829000004,7.719364,92.7389430000001,262.838636,198.829063,100.364881,136.441942,90.0484705254238
Erwerbspersonen,1186.637009,101.730594,301.485666,351.278109,208.507804999999,100.08017,123.554665,75.8235603807973
Erwerbstätige,1128.119018,90.677336,280.213652,333.951672000001,201.741805999999,98.9907480000001,122.543804,76.7165918631823
Selbstständige,180.02058,11.464243,33.989151,43.228907,34.593307,23.245987,33.498985,87.7438058248675
Beamte,64.158408,/,8.81178,17.715161,12.713575,8.953068,14.655425,93.4225907070512
Angestellte,786.569421999999,63.723296,206.694427999999,240.542777,140.845345,63.284571,71.479005,74.4128405833197
Arbeiter,87.6121469999998,11.041788,27.275391,30.342637,13.077295,/,/,65.089591492376
Erwerbslose,58.517991,11.053258,21.272014,17.326437,6.765999,/,/,58.6075592547257
Nichterwerbspersonen,583.104570000002,53.128823,178.893176,191.255187999999,82.577165,36.748533,40.501685,69.6599589332664
darunter Rentner,462.287334999999,30.0679,133.761307,162.208586,68.391746,32.218666,35.63913,71.864272636844
unter 25,51.934907,15.280119,21.2118,10.524655,/,/,/,51.4925322769905
25 – 45,626.737948999998,66.32599,185.720401,192.040958,103.049347,39.626196,39.975057,69.6057869395108
45 – 65,623.897194000002,47.459167,143.6726,178.051869,113.260348,60.88718,80.5660300000001,79.6620591997723
65 und mehr,467.171528999999,25.794141,129.774041,161.915815,71.216272,35.370769,43.100491,74.0505316174779
ohne Migrationshintergrund,1347.512013,99.6666609999999,362.740272999999,414.320488,218.141533,113.236522,139.406536,75.321532490857
mit Migrationshintergrund,422.229566,55.192756,117.638569,128.212809,72.943437,23.592181,24.649814,68.9137279244911
davon deutsch,147.535837,12.446297,34.153299,48.977954,29.468583,10.8682,11.621504,74.6733282978562
ausländisch,274.693728999999,42.746459,83.48527,79.234855,43.474854,12.723981,13.02831,65.8202919550449
