household_structure,households,inhabited_by_owner,inhabited_by_owner_percentage,inhabited_by_owner_with_open_credits,inhabited_by_main_tenant,inhabited_by_main_tenant_percentage,inhabited_by_sub_tenant,inhabited_by_sub_tenant_percentage
Haushalte,1917.689121,307.506943999998,16.0352864618456,115.406563,1522.73883500001,79.4048846773433,87.4433420000001,4.55982886081149
mit 1 Person,1006.702266,94.0432469999999,9.34171404755729,23.742936,836.654698000001,83.1084548288876,76.004321,7.54983112355483
darunter weiblich,506.452808000001,55.302458,10.9195678504363,11.326026,419.391123000001,82.8095167753518,31.759227,6.27091537421191
mit 2 Personen,549.414617,128.214981,23.3366526904762,37.902376,413.560681,75.2729665727114,7.638955,1.39038073681247
mit 3 Personen,188.144421,39.393602,20.9379591436304,24.073235,146.425462,77.8260982822339,/,/
mit 4 Personen,127.534042,35.228096,27.622504115411,22.246909,91.2906550000001,71.5814017719284,/,/
mit 5 und mehr Personen,45.893775,10.627018,23.1556850575051,7.441107,34.807339,75.8432685042798,/,/
mit Kindern unter 18 Jahren,342.373164,65.89522,19.2466077744341,43.652643,271.635978,79.3391557990217,/,/
mit 1 Kind,193.254688,30.838023,15.9571927176225,19.755605,158.705451,82.12243265219,/,/
mit 2 Kindern,112.01539,28.22199,25.1947433294657,18.890646,82.997863,74.0950533672203,/,/
mit 3 Kindern,28.609468,5.716048,19.9795676032843,/,22.558205,78.8487398647189,/,/
mit 4 und mehr Kindern,8.493618,/,/,/,7.374459,86.8235303259459,–,–
ohne Kinder unter 18 Jahren,1575.315957,241.611723999999,15.3373501313425,71.7539200000001,1251.102857,79.4191699411575,82.6013760000001,5.24347992750003
unter 900,153.188966,/,/,/,129.7241,84.6824046060864,19.180172,12.5205962941221
900  –  1 500,406.199516,23.07917,5.68173252082359,/,353.319235,86.981697683756,29.801111,7.33656979542043
1 500  –  2 000,331.214221,30.269028,9.13880687508281,5.351138,284.893407,86.0148474723855,16.051786,4.84634565253163
2 000  –  3 200,512.594487999999,76.491802,14.9224784485002,20.520795,420.346845,82.0037778088633,15.755841,3.07374374263658
3 200  –  4 500,272.816618,67.1539380000001,24.6150467271022,31.147978,200.61828,73.5359456732214,5.0444,1.84900759967635
4 500  –  6 000,137.068479,50.593475,36.9110939065721,23.869893,86.294848,62.9574710608704,/,/
6 000 und mehr,102.984364,55.243038,53.6421606681962,30.428379,46.436686,45.0910062424623,/,/
1 Einkommensbezieher,1110.57453,110.232754,9.9257412287314,30.615277,922.487089000001,83.0639515026517,77.8546870000001,7.01030726861709
2 und mehr Einkommensbezieher,806.280241000004,197.146791,24.4513980344458,84.791286,599.544794999999,74.3593560294126,9.588655,1.18924593614095
Erwerbspersonen,1301.231223,192.439265,14.7890137892887,101.394698,1043.779727,80.214777247164,65.0122310000001,4.99620896354714
Erwerbstätige,1233.948684,190.593712,15.4458377784533,100.730522,983.998267999997,79.7438565119454,59.3567040000001,4.81030570960114
Selbstständige,194.732601,48.18068,24.7419691169226,21.021216,137.219969,70.4658430562432,9.331952,4.79218782683441
Beamte,66.146726,21.010443,31.7633906778697,13.027318,44.455138,67.2068606993489,/,/
Angestellte,866.640302999998,115.17119,13.2893877196016,63.088839,707.843151999997,81.6766944197839,43.625961,5.03391786061444
Arbeiter,92.3843649999999,5.784233,6.26105185655604,/,82.906676,89.7410249017786,/,/
Erwerbslose,67.282539,/,/,/,59.781459,88.8513719733436,5.655527,8.40563849708466
Nichterwerbspersonen,616.457898000005,115.067679,18.6659428605454,14.011865,478.959108,77.6953478175725,22.431111,3.63870932188135
darunter Rentner,471.936446999999,106.477877,22.5619101209194,12.27049,358.704917,76.0070385070303,6.753653,1.43105137205053
unter 25,82.502402,/,/,/,63.214857,76.6218382344795,17.628944,21.3677948431126
25 – 45,715.631636999995,54.8976389999999,7.67121465313311,38.123168,609.793867999997,85.210579922978,50.94013,7.1182054238891
45 – 65,644.949665000003,136.031352,21.0917780692233,62.635804,496.223494000002,76.9398793315134,12.694819,1.96834259926314
65 und mehr,474.605416999999,114.919352,24.2136621040716,14.033781,353.506616,74.484319676444,6.179449,1.30201821948442
Zusammen,234.322945,/,/,/,223.872514,95.540158903346,8.57655,3.66014092217901
Wohngeld (Miet-/Lastenzuschuss),18.846109,–,–,–,18.245037,96.81063077795,/,/
Wohnkosten bei ALG II (Hartz IV),163.069191,/,/,/,155.097764,95.1116290262334,6.773071,4.15349518720553
Wohnkosten bei Grundsicherung,54.396146,/,/,–,52.518214,96.5476745356188,/,/
