feature,households,owner_households,owner_households_percentage,tenant_households,tenant_households_percentage
Mitte,194,17.6,9.1,176.3,90.9
bis 1948,78.6,/,/,72.2,91.8
1949 und später,115.4,/,/,104.1,90.2
Friedrichshain-Kreuzberg,141,12.8,9.1,128.2,90.9
bis 1948,74.1,/,/,66.9,90.3
1949 und später,66.9,/,/,61.2,91.5
Pankow,204.1,29,14.2,175.1,85.8
bis 1948,110.5,11.9,10.8,98.6,89.2
1949 und später,93.6,17.1,18.2,76.5,81.8
Charlottenburg-Wilmersdorf,173,31,17.9,142,82.1
bis 1948,86,18,20.4,69,79.6
1949 und später,86,13,15.3,73,84.7
Spandau,124,22,18.1,102,81.9
bis 1948,35,/,/,32,90.3
1949 und später,89,19,21.4,70,78.6
Steglitz-Zehlendorf,142,40,28.2,102,71.8
bis 1948,56,15,27,41,73
1949 und später,85,25,29,61,71
Tempelhof-Schöneberg,174,26,15.2,147,84.8
bis 1948,76,10,12.9,66,87.1
1949 und später,98,17,17,81,83
Neukölln,164,27,16.6,137,83.4
bis 1948,65,11,17.1,54,82.9
1949 und später,99,16,16.2,83,83.8
Treptow-Köpenick,148,32,21.4,116,78.6
bis 1948,46,9,20.3,37,79.7
1949 und später,102,22,21.9,80,78.1
Marzahn-Hellersdorf,142,23,16,119,83.9
bis 1948,/,/,/,/,/
1949 und später,135,18,13.1,117,86.8
Lichtenberg,153,/,/,143,93.7
bis 1948,26,/,/,24,92.2
1949 und später,127,/,/,119,94
Reinickendorf,127,32,25,95,75
bis 1948,38,10,26.8,28,73.2
1949 und später,89,22,24.3,68,75.7
Land Berlin,1887,301,16,1586,84
bis 1948,700,110,15.7,590,84.3
1949 und später,1188,192,16.1,996,83.9
