household_structure,households,inhabited_by_owner,inhabited_by_owner_percentage,inhabited_by_owner_with_open_credits,inhabited_by_main_tenant,inhabited_by_main_tenant_percentage,inhabited_by_sub_tenant,inhabited_by_sub_tenant_percentage
Haushalte,1977,304,15.4,110,1576,79.7,96,4.8
mit 1 Person,983,93,9.5,20,831,84.6,58,5.9
darunter weiblich,514,57,11.1,10,429,83.6,27,5.3
mit 2 Personen,582,119,20.5,34,438,75.1,25,4.3
mit 3 Personen,201,41,20.4,22,154,76.7,/,/
mit 4 Personen,155,38,24.8,25,113,72.8,/,/
mit 5 und mehr Personen,56,12,22.2,/,41,73.2,/,/
mit Kindern unter 18 Jahren,382,71,18.5,48,302,79,/,/
mit 1 Kind,199,30,15.3,19,163,82.2,/,/
mit 2 Kindern,139,32,22.9,23,105,75.1,/,/
mit 3 Kindern,34,/,/,/,24,72.9,/,/
mit 4 und mehr Kindern,/,/,/,/,/,/,/,/
ohne Kinder unter 18 Jahren,1594,234,14.6,62,1274,79.9,86,5.4
unter 1000,169,/,/,/,144,85.1,18,10.4
1000  –  1500,248,16,6.3,/,214,86.5,18,7.2
1500  –  2000,274,26,9.4,/,233,85.2,15,5.4
2000  –  3500,647,82,12.7,20,540,83.5,25,3.8
3500  –  4500,250,47,19,19,193,77.3,/,/
4500  –  6000,201,50,24.7,24,144,71.4,/,/
6000 und mehr,188,76,40.6,42,108,57.5,/,/
1 Einkommensbezieher,1089,106,9.8,25,920,84.5,62,5.7
2 und mehr Einkommensbezieher,886,198,22.3,85,654,73.8,34,3.8
Erwerbspersonen,1344,191,14.2,99,1089,81,64,4.7
Erwerbstätige,1292,189,14.7,99,1045,80.9,58,4.5
Selbstständige,161,38,23.8,14,114,70.8,/,/
Beamte,67,19,28,11,48,71.1,/,/
Angestellte,987,125,12.7,71,817,82.8,44,4.5
Arbeiter,61,/,/,/,52,84.5,/,/
Erwerbslose,52,/,/,/,45,85.3,/,/
Nichterwerbspersonen,632,113,17.9,10,487,77,32,5
darunter Rentner,462,103,22.3,9,345,74.7,14,3
unter 25,100,/,/,/,82,82,/,/
25 – 45,757,62,8.1,43,649,85.8,46,6
45 – 65,635,131,20.6,56,487,76.7,18,2.8
65 und mehr,485,110,22.8,9,358,73.9,16,3.4
Zusammen,173,/,/,/,159,92,/,/
Wohngeld (Miet-/Lastenzuschuss),31,/,/,/,29,93.9,/,/
Wohnkosten bei ALG II (Hartz IV),103,/,/,/,95,91.5,/,/
Wohnkosten bei Grundsicherung,42,/,/,/,39,91.3,/,/
