household_structure,total,below_300_euros,between_300_and_400_euros,between_400_and_500_euros,between_500_and_600_euros,between_600_and_700_euros,between_700_and_800_euros,more_than_800_euros
Hauptmieterhaushalte,1515,261,313,283,207,137,87,227
mit 1 Person,779,227,208,146,88,42,26,43
darunter weiblich,405,102,116,83,49,23,12,19
mit 2 Personen,431,29,83,94,66,47,31,82
mit 3 Personen,153,/,14,24,32,21,12,46
mit 4 Personen,112,/,/,14,19,20,12,41
mit 5 und mehr Personen,40,/,/,/,/,/,/,16
mit Kindern unter 18 Jahren,300,/,29,47,49,44,27,98
mit 1 Kind,162,/,20,29,27,22,13,46
mit 2 Kindern,105,/,/,14,18,17,/,39
mit 3 Kindern,24,/,/,/,/,/,/,/
mit 4 und mehr Kindern,/,/,/,/,/,/,/,/
ohne Kinder unter 18 Jahren,1215,254,285,236,158,93,60,129
unter 1000,134,74,35,13,/,/,/,/
1000  –  1500,200,67,63,39,17,/,/,/
1500  –  2000,223,47,67,49,31,13,/,/
2000  –  3500,522,58,115,126,93,57,31,42
3500  –  4500,189,/,20,33,36,26,18,47
4500  –  6000,142,/,/,17,17,19,15,61
6000 und mehr,105,/,/,/,/,/,/,65
1 Einkommensbezieher,868,231,221,165,101,55,32,62
2 und mehr Einkommensbezieher,646,29,93,117,106,83,54,164
Erwerbspersonen,1041,150,181,184,152,103,68,204
Erwerbstätige,998,138,172,179,147,98,65,200
Selbstständige,110,21,16,14,13,12,/,32
Beamte,46,/,/,/,/,/,/,13
Angestellte,780,107,134,144,119,77,48,150
Arbeiter,50,/,13,/,/,/,/,/
Erwerbslose,43,21,/,/,/,/,/,/
Nichterwerbspersonen,475,111,133,99,55,35,19,23
darunter Rentner,342,75,99,76,42,23,12,15
vor 1999,274,59,80,61,33,19,11,10
1999 – 2008,304,61,68,61,47,25,18,24
2009 – 2018,571,89,114,100,79,60,35,93
2019 und später,367,51,51,61,48,33,23,99
ohne Migrationshintergrund,1049,187,235,202,141,87,56,142
mit Migrationshintergrund,466,73,79,81,66,51,31,85
davon deutsch,157,21,27,30,22,19,13,24
ausländisch,309,52,52,51,44,31,18,61
