household_structure,households,percentage_of_household_net_income_below_15%,percentage_of_household_net_income_between_15_and_20%,percentage_of_household_net_income_between_20_and_25%,percentage_of_household_net_income_between_25_and_30%,percentage_of_household_net_income_between_30_and_35%,percentage_of_household_net_income_between_35_and_40%,percentage_of_household_net_income_between_40_and_45%,percentage_of_household_net_income_above_45%,percentage_of_household_net_income_average
Hauptmieterhaushalte,1515.0,16.4,18.9,19.1,14.2,9.9,6.7,4.8,10.1,27.2
mit 1 Person,779.0,8.3,12.9,19.3,15.5,12.3,8.8,7.4,15.6,31.9
darunter weiblich,405.0,6.2,10.9,18.3,17.6,12.8,9.4,7.9,17,32.9
mit 2 Personen,431.0,26.3,25.3,18.2,11.6,7.6,4.2,2.5,4.3,22.2
mit 3 Personen,153.0,23.6,24.7,18.5,13.2,/,/,/,/,22.9
mit 4 Personen,112.0,23.2,27.8,19.2,14.7,/,/,/,/,22.0
mit 5 und mehr Personen,40.0,/,/,/,/,/,/,/,/,23.0
mit Kindern unter 18 Jahren,300.0,18,23.4,19.6,15.3,8.8,6.1,/,6.1,24.4
ohne Kinder unter 18 Jahren,1215.0,16,17.7,18.9,13.9,10.2,6.8,5.4,11.1,27.9
unter 1000,134.0,/,/,/,/,/,12.3,14.6,59.7,56.5
1000  –  1500,200.0,/,/,9.5,14.2,20.6,16.8,13.6,22.2,37.6
1500  –  2000,223.0,/,7.8,23.3,24.6,16.6,11.6,6.1,8.2,30.3
2000  –  3500,522.0,11,26.9,28.4,17.6,8.7,3.7,2,/,23.2
3500  –  4500,189.0,33.8,31.1,18.6,8.8,/,/,/,/,18.9
4500  –  6000,142.0,42.7,26.4,14.5,9.7,/,/,/,/,17.7
6000 und mehr,105.0,58,24.8,11.7,/,/,/,/,/,14.0
1 Einkommensbezieher,868.0,8.1,13.1,19.1,15.6,12.6,9.2,7.3,15.1,31.9
2 und mehr Einkommensbezieher,646.0,27.6,26.7,19,12.3,6.3,3.4,/,3.3,21.2
Erwerbspersonen,1041.0,20.4,22.3,20.7,13.9,8.4,5.2,3.2,5.9,24.3
Erwerbstätige,998.0,21.2,23.1,21.2,14,8.1,4.8,2.8,4.9,23.6
Selbstständige,110.0,22.5,16,20.8,10.7,/,/,/,10.2,26.2
Beamte,46.0,35.4,26.3,/,/,/,/,/,/,18.9
Angestellte,780.0,20.5,23.9,21.6,14.6,8,4.8,2.5,4,23.3
Arbeiter,50.0,/,25.9,/,/,/,/,/,/,22.9
Erwerbslose,43.0,/,/,/,/,/,/,/,30.7,40.6
Nichterwerbspersonen,475.0,7.5,11.3,15.5,14.8,13.2,10,8.4,19.3,34.3
darunter Rentner,342.0,8.4,14.3,19.2,17.3,13.6,9,6.8,11.3,29.8
vor 1999,274.0,18.6,18.2,18.7,14.5,10.1,6.3,4.3,9.4,26.4
1999 – 2008,303.0,17.2,18.5,17.9,13,9,7.5,6.2,10.7,27.7
2009 – 2018,571.0,17.6,21.1,18.6,13.8,8.9,6.4,4.3,9.3,26.7
2019 und später,367.0,12.2,16.2,21,15.4,12.2,6.8,4.8,11.5,28.9
ohne Migrationshintergrund,1049.0,17.5,19.5,19.5,13.7,9.9,6.3,4.9,8.8,26.5
mit Migrationshintergrund,466.0,13.9,17.4,18.1,15.3,10,7.6,4.6,13.2,29.4
davon deutsch,156.0,16.8,17.9,17.8,12.6,9.4,8.1,/,13,28.5
ausländisch,309.0,12.4,17.1,18.3,16.6,10.4,7.3,/,13.3,29.8
